ingredient,allergen,category,severity
filtered water tomato paste,None,Unknown,Safe
organic tangerine fruit juice concentrate,None,Unknown,Safe
- sugar,None,Unknown,Safe
capsicum essence,None,Unknown,Safe
calcium chloride 1/10 of 1% sodium benzoate as a preservative,None,Unknown,Safe
leavening (baking soda ammonium bicarbonate,None,Unknown,Safe
sodium calcium alginate,None,Unknown,Safe
salz / fimoiii hjiiveiivmaito,None,Unknown,Safe
vlakna citrusa,None,Unknown,Safe
sweet cut corn,None,Unknown,Safe
xanthan gum lemon oil dehydreated garlic,None,Unknown,Safe
beta-d-galactosidase,None,Unknown,Safe
sea buckthorn puree (25%),None,Unknown,Safe
guanabana pulp (custard apple),None,Unknown,Safe
dried cranberries (sucrose,None,Unknown,Safe
organic garbanzo beans (organic garbanzo beans water,None,Unknown,Safe
pomme 78,None,Unknown,Safe
sodium citrate and citric ac,None,Unknown,Safe
enriched egg noodle product (wheat flour,None,Unknown,Safe
jalapeno-chili),None,Unknown,Safe
metamyosyn v100 protein blend (whey prot,None,Unknown,Safe
organic white distilled vinegar,None,Unknown,Safe
pinto bean grits (pinto beans,None,Unknown,Safe
salt and organic spices),None,Unknown,Safe
fond de boeuf (boeuf,None,Unknown,Safe
sodium 5'-inosinate,None,Unknown,Safe
silicon dioxide (anticaking agent),None,Unknown,Safe
schultz's gourmet sweet heat hot sauce (aged cayenne peppers,None,Unknown,Safe
prieskoniai 1,None,Unknown,Safe
decoration (sugar,None,Unknown,Safe
sweet vidalia onion puree (onion puree,None,Unknown,Safe
l'abri du soleil i conservar no frigorifia de aberto,None,Unknown,Safe
pork shoulder butt,None,Unknown,Safe
mixed peppercorns,None,Unknown,Safe
poivrons frais,None,Unknown,Safe
gresskar fra,None,Unknown,Safe
dehydrated red bell peppers and  carrots,None,Unknown,Safe
extraits de levure,None,Unknown,Safe
sucre de fruits,None,Unknown,Safe
disodium 5'- guanylate,None,Unknown,Safe
moutarde 2 % (eau,None,Unknown,Safe
fete cheese (cultured milk,None,Unknown,Safe
brown rice meal,None,Unknown,Safe
riz pur,None,Unknown,Safe
cream powder (from milk),None,Unknown,Safe
9% - champignon noir 2,None,Unknown,Safe
palm kernel oil (with soy lecithin),None,Unknown,Safe
48% riz cuit (riz,None,Unknown,Safe
coconut milk powder (milk,None,Unknown,Safe
3% (contient lait ) (origine france),None,Unknown,Safe
marinade (maltodextrin,None,Unknown,Safe
nisin preparation as preservatives),None,Unknown,Safe
store in a cool dry place,None,Unknown,Safe
huile de palme 6%,None,Unknown,Safe
palm and palm kennel,None,Unknown,Safe
dehydrated potato (dehydrated potato,None,Unknown,Safe
hops (brewer's gold,None,Unknown,Safe
prefried potatoes (potatoes,None,Unknown,Safe
peanuts (50%),None,Unknown,Safe
surimi (pollack and/or pacific whiting,None,Unknown,Safe
destrosi0i sale,None,Unknown,Safe
tetrasodium py,None,Unknown,Safe
sucre inverti brun,None,Unknown,Safe
pasture-raised organic eggs,None,Unknown,Safe
iron phosphate,None,Unknown,Safe
apple juice 35%,None,Unknown,Safe
cerises 65%,None,Unknown,Safe
organic (love),None,Unknown,Safe
pre-cooked whole grain oats,None,Unknown,Safe
oeufs durs 3,None,Unknown,Safe
xanthan gum (for texture),None,Unknown,Safe
egg nog base (containing corn syrup,None,Unknown,Safe
figs 6%,None,Unknown,Safe
indigotine),None,Unknown,Safe
lentejas cocidas (27,None,Unknown,Safe
microbial salt enzymes,None,Unknown,Safe
93% fideos (harina de trigo,None,Unknown,Safe
25 cl arez - france,None,Unknown,Safe
tomatoe paste,None,Unknown,Safe
organic gluten free flour blend (organic brown rice flour,None,Unknown,Safe
aveilanas (1 alcchoj (lecura de soja,None,Unknown,Safe
5% gefriergetrocknete brombeerenl,None,Unknown,Safe
carrageenan locust bean gum,None,Unknown,Safe
cellulose gum and xanthan gum (provides thickness),None,Unknown,Safe
dextrose de pomme de terre,None,Unknown,Safe
sorbitol from fruits and vegetables,None,Unknown,Safe
and yellow 6 lakes,None,Unknown,Safe
margarine (not hydrogenated vegetable fats from and coconut,None,Unknown,Safe
sardines,None,Unknown,Safe
kokosflakes 13%,None,Unknown,Safe
filets de sardines (80 %),None,Unknown,Safe
hulle de tournesol (79%),None,Unknown,Safe
os de veau,None,Unknown,Safe
pecans (cottonseed oil,None,Unknown,Safe
hot cajun corn sticks (yellow corn masa,None,Unknown,Safe
1% (abricots secs 2,None,Unknown,Safe
stabilisant e415 (soja,None,Unknown,Safe
extrait de pommes,None,Unknown,Safe
vegetable oil (soya),None,Unknown,Safe
natriumseleniet),None,Unknown,Safe
cooked pork back ribs,None,Unknown,Safe
bamboo rice (short grain white rice,None,Unknown,Safe
organic natural berry flavors,None,Unknown,Safe
de ier,None,Unknown,Safe
pommes 20%,None,Unknown,Safe
de soja et d'oeufs du gluten conserverdans un endroit sec et frais,None,Unknown,Safe
beurre de cacao 8%,None,Unknown,Safe
caramel 24 % (sirop de glucose,None,Unknown,Safe
poudre d'amandes,None,Unknown,Safe
08% dv),None,Unknown,Safe
marrons 14%,None,Unknown,Safe
sugar dehydrated soy sauce (soybeans,None,Unknown,Safe
vegetarian worcestershire sauce (d,None,Unknown,Safe
extra virgin olive oil (30%),None,Unknown,Safe
cheese blend (cheddar,None,Unknown,Safe
semolina from )wheat),None,Unknown,Safe
natural french vanilla flavors,None,Unknown,Safe
dextrose co,None,Unknown,Safe
fondant (glucose syrup,None,Unknown,Safe
dipotassium sulfate,None,Unknown,Safe
natural flavors (extracts of natural cherry),None,Unknown,Safe
herbs and spices (mustard seeds),None,Unknown,Safe
bouillon (porc,None,Unknown,Safe
mandarine 6%,None,Unknown,Safe
natural flavor milk),None,Unknown,Safe
cornichons (1%) (cornichon,None,Unknown,Safe
jus de raisins bio,None,Unknown,Safe
calcil barbecue sauce (water,None,Unknown,Safe
cherry juice concentrate carob bean gum,None,Unknown,Safe
oignons jaunes (calibre 40/60),None,Unknown,Safe
3% (poitrine de porc,None,Unknown,Safe
emulsifier (472c),None,Unknown,Safe
morceaux de pommes 5,None,Unknown,Safe
ascorbic acid added as a dough conditioner,None,Unknown,Safe
lait glaces,None,Unknown,Safe
zitronensaft aus saftkonzentrat (1,None,Unknown,Safe
vermicelle de haricot mungo,None,Unknown,Safe
natural flavor (citric acid,None,Unknown,Safe
beta carotene for color,None,Unknown,Safe
thaiamine mononitrate,None,Unknown,Safe
bi) et mineraux (fer,None,Unknown,Safe
10% cranberrysaft aus cranberrysaftkonzentrat,None,Unknown,Safe
coconut acidulants,None,Unknown,Safe
edam (contient lait) 7,None,Unknown,Safe
truffle oil (olive oil,None,Unknown,Safe
j'as d',None,Unknown,Safe
100 0% sirnpees morceaux assortis de poulet 93%,None,Unknown,Safe
rijstmeel,None,Unknown,Safe
vin rouge 3%,None,Unknown,Safe
graines de soja sans ogm 6,None,Unknown,Safe
purified water cane sugar,None,Unknown,Safe
1 l agua,None,Unknown,Safe
contains 2% or less of mixed nuts (cashews,None,Unknown,Safe
oignons 65 %,None,Unknown,Safe
tomates cerises 5 %,None,Unknown,Safe
kivi pire,None,Unknown,Safe
tomates 54%,None,Unknown,Safe
plantains and palm oil,None,Unknown,Safe
organic parmesan cheese (cultured organic milk,None,Unknown,Safe
lait entiere en poudre,None,Unknown,Safe
almonds (roasted in soybean oil),None,Unknown,Safe
100% ground sesame,None,Unknown,Safe
london broil,None,Unknown,Safe
pefferonen,None,Unknown,Safe
pasteurised egg yolk (12%),None,Unknown,Safe
mustard (vin,None,Unknown,Safe
vin lanc,None,Unknown,Safe
und gezerzcn),None,Unknown,Safe
figue du roussillon,None,Unknown,Safe
79%),None,Unknown,Safe
(contains less than 2% of flavorings,None,Unknown,Safe
seasoning (palm oil,None,Unknown,Safe
poivrons piquillos,None,Unknown,Safe
7g (dont sucres 6,None,Unknown,Safe
traditional hardwood smoke,None,Unknown,Safe
prune purees,None,Unknown,Safe
1% lemon juice concentrate,None,Unknown,Safe
sodium benzonate and citric acid (preservatives),None,Unknown,Safe
sodium pca,None,Unknown,Safe
black ground pepper,None,Unknown,Safe
piments verts 6% (europe),None,Unknown,Safe
contcentrated lemon juice,None,Unknown,Safe
silicon dioxide (for free flowing) annatto,None,Unknown,Safe
conservateur (e251)),None,Unknown,Safe
viande de porc 15%,None,Unknown,Safe
italian hot chili peppers,None,Unknown,Safe
dry yeast,None,Unknown,Safe
9 % du poids total),None,Unknown,Safe
brun,None,Unknown,Safe
8 % (vsholegrain crushed buckwheat 13,None,Unknown,Safe
dark chocolaty flakes (sugar,None,Unknown,Safe
- natuurlijk aloma van bourbon vanille (l i6%),None,Unknown,Safe
amandon d'abricot (7 %),None,Unknown,Safe
triple berry blend (blackberries,None,Unknown,Safe
inverted sugar butter,None,Unknown,Safe
angekeimter buchweizen (38%),None,Unknown,Safe
pasteurized sweet cream butter,None,Unknown,Safe
pulpe de tomate 17,None,Unknown,Safe
almonds 3%,None,Unknown,Safe
fractions de beurre 3%,None,Unknown,Safe
diacetyl tartaric acid of ester of mono and diglycerides),None,Unknown,Safe
extra-frais 16 %,None,Unknown,Safe
elderberry syrup (water,None,Unknown,Safe
vanille naturelle,None,Unknown,Safe
sesamr,None,Unknown,Safe
of which,None,Unknown,Safe
zat)/tr,None,Unknown,Safe
organic milled chia seeds,None,Unknown,Safe
passion fruit juice,None,Unknown,Safe
organic vine,None,Unknown,Safe
94 mg 1,None,Unknown,Safe
romano mozzarella,None,Unknown,Safe
cocoa powder (unsweetened processed with alkali),None,Unknown,Safe
dry whole milk,None,Unknown,Safe
huile de coprah emmental fondu 0,None,Unknown,Safe
dioxide ( for color),None,Unknown,Safe
not recommended for children,None,Unknown,Safe
coirandre,None,Unknown,Safe
kokosraspeln,None,Unknown,Safe
prosciutto (pork,None,Unknown,Safe
textured vegetable protein concentrate (soy protein concentrate,None,Unknown,Safe
pulpe de malpighia en poudre,None,Unknown,Safe
vin (contient sulfite),None,Unknown,Safe
stabilisateur (e493),None,Unknown,Safe
raw organic sunflower seeds,None,Unknown,Safe
02% ail,None,Unknown,Safe
long grain white rice enriched with ferric phosphate,None,Unknown,Safe
vegetable oil and spices),None,Unknown,Safe
pressed high oleic safflower and/or sunflower oil,None,Unknown,Safe
pommes de terre 50%,None,Unknown,Safe
white balsamic vinegar,None,Unknown,Safe
stabilizer (microcrystalline cellulose,None,Unknown,Safe
salz unjodiert,None,Unknown,Safe
shortening (palm oil with citric acid (preservative)),None,Unknown,Safe
colorant beta carotene,None,Unknown,Safe
suave sin lactosa (leche pasteurizada,None,Unknown,Safe
cooked clam meat,None,Unknown,Safe
arome naturel e menthe,None,Unknown,Safe
non-gmo soy protein,None,Unknown,Safe
bulgur (cracker wheat),None,Unknown,Safe
mixed berry juice from concentrate (blueberry,None,Unknown,Safe
proster,None,Unknown,Safe
fish (see below),None,Unknown,Safe
glaeq,None,Unknown,Safe
jus de mandarine,None,Unknown,Safe
whole milk partially hydrogenated palm oil,None,Unknown,Safe
citric acid (contains one or more of the following cottonseed,None,Unknown,Safe
huile d'olive vierge extra 19%,None,Unknown,Safe
and spice and herbs (black pepper,None,Unknown,Safe
karotten 0,None,Unknown,Safe
roasted red pepper (red peppers,None,Unknown,Safe
libbsticka,None,Unknown,Safe
volledig gehard palm),None,Unknown,Safe
acidity regulator (citric acld),None,Unknown,Safe
sweet cream buttermilk solids (milk) mono and diglycerides,None,Unknown,Safe
lemon juice concen,None,Unknown,Safe
framboises 15 %,None,Unknown,Safe
omega-3 oil blend (purified fish oil and butter oil - to help maintain freshness)3,None,Unknown,Safe
flavouring natural vanilla),None,Unknown,Safe
chocolat blanc 23 % (sucre,None,Unknown,Safe
vegetable and spice blend (broccoli,None,Unknown,Safe
huila dg tournesol),None,Unknown,Safe
dont persil et ciboulette),None,Unknown,Safe
ascorbic acid (to preserve color),None,Unknown,Safe
acidifiant (e 330)),None,Unknown,Safe
vanilla (an artificial fl,None,Unknown,Safe
yogurt powder (nonfat milk solids,None,Unknown,Safe
pimiento rojo 2%,None,Unknown,Safe
smoked malt and maltodextrin (natural flavors),None,Unknown,Safe
organic mesquite powder,None,Unknown,Safe
proteines 29,None,Unknown,Safe
bonito del norte (white tuna),None,Unknown,Safe
topper (sugar,None,Unknown,Safe
tonyu (eau,None,Unknown,Safe
sweet relish pickle (cucumbers,None,Unknown,Safe
melass,None,Unknown,Safe
all-natural honeysuckle flavor with other natural flavors,None,Unknown,Safe
colored with (yellow 6,None,Unknown,Safe
cacao maigre en poudre bio 3,None,Unknown,Safe
jambon cuit standard 16,None,Unknown,Safe
and cinnamon,None,Unknown,Safe
vegetable and fruit juice ( color) curcumin (color),None,Unknown,Safe
5gr,None,Unknown,Safe
conservadores (e-252,None,Unknown,Safe
ontvette sojabonen (27%),None,Unknown,Safe
riboflavin folic acid),None,Unknown,Safe
noix de coco (60%),None,Unknown,Safe
magermilch (15%),None,Unknown,Safe
noisettes 35%,None,Unknown,Safe
spices and flavorings (includes paprika),None,Unknown,Safe
gum tragacanth (a natural thickener)),None,Unknown,Safe
enriched wheat flour (malted barley,None,Unknown,Safe
dried white bean,None,Unknown,Safe
hydrogenated vegetable oil (cottonseed oil,None,Unknown,Safe
flocons d'avoine complet (13%),None,Unknown,Safe
voedlngsvezel 'g,None,Unknown,Safe
wholegrain flour),None,Unknown,Safe
whey petein concentrate,None,Unknown,Safe
corn masa flour (stoneground organic blue corn masa flour,None,Unknown,Safe
lime puree,None,Unknown,Safe
antiklumpemiddel (e551,None,Unknown,Safe
63% tofu (wasser,None,Unknown,Safe
zinc (sulfate de zinc),None,Unknown,Safe
arome (4%),None,Unknown,Safe
tomatoes paste,None,Unknown,Safe
raspberry liqueur,None,Unknown,Safe
glazing agent,None,Unknown,Safe
100% saumon atlantique (salmo salar),None,Unknown,Safe
pineapple filling (sugar,None,Unknown,Safe
sauce (water,None,Unknown,Safe
contains less than 2% of color (annatto extract,None,Unknown,Safe
nonfat milk and enzymes,None,Unknown,Safe
and maltpdextrin),None,Unknown,Safe
o g,None,Unknown,Safe
(b5,None,Unknown,Safe
fish-n-d-lit is an all-natural blend of ground white commeal,None,Unknown,Safe
alcool de grain,None,Unknown,Safe
clov,None,Unknown,Safe
dinde (27,None,Unknown,Safe
and enzyme,None,Unknown,Safe
stabilisers (452,None,Unknown,Safe
annatto extract (for color),None,Unknown,Safe
acide tartirique,None,Unknown,Safe
organic palm oil and/or organic canola and/or organic sunflower oil,None,Unknown,Safe
aipo,None,Unknown,Safe
partially hydrogenated vegetable shortening (may c,None,Unknown,Safe
piment d'espelette (aop) (0,None,Unknown,Safe
cerise) (2%),None,Unknown,Safe
du fromage,None,Unknown,Safe
concentrated chicken broth base (chicken broth,None,Unknown,Safe
semisweet chocolate chips (dried cane syrup,None,Unknown,Safe
nigluten,None,Unknown,Safe
tbhq and citric acid (to preserve freshness),None,Unknown,Safe
collagen casing,None,Unknown,Safe
dehydrated pork stock (dehydrated pork stock (dehydrated pork stock,None,Unknown,Safe
humectants,None,Unknown,Safe
02 %),None,Unknown,Safe
moutarde de dijon 3,None,Unknown,Safe
chilly powder,None,Unknown,Safe
organic lemon juice concentrate (for flavor),None,Unknown,Safe
13% tomatenmark dreifach konzentriert,None,Unknown,Safe
tiamina b1,None,Unknown,Safe
as acidity regulators,None,Unknown,Safe
diced apricots,None,Unknown,Safe
farine de seigle),None,Unknown,Safe
riz cuit 41 % (eau - riz - sel - huile de colza - persil 0,None,Unknown,Safe
zumo de limon ) fermentos lacticos,None,Unknown,Safe
apfelsaft 85%,None,Unknown,Safe
bohnenkraut,None,Unknown,Safe
mozzarella 6 %,None,Unknown,Safe
plantes aromatiques (paprika,None,Unknown,Safe
breaded cod fish (boneless,None,Unknown,Safe
contains less,None,Unknown,Safe
contains less than 2% of cheese cultures,None,Unknown,Safe
dried cloud ear mushroom,None,Unknown,Safe
non-fat dry milk,None,Unknown,Safe
caramel 9% (sucre,None,Unknown,Safe
mini knacks 20% (viande de porc 15% et gras de porc,None,Unknown,Safe
et acesulfame k,None,Unknown,Safe
ni colorant,None,Unknown,Safe
vanille en poudre 0,None,Unknown,Safe
smoked pork (pork,None,Unknown,Safe
oat bran (gluten) (11%),None,Unknown,Safe
organic morel,None,Unknown,Safe
butter (crea,None,Unknown,Safe
maltodextrine (15%),None,Unknown,Safe
lactic acid starte,None,Unknown,Safe
raisins secs (19 0%),None,Unknown,Safe
pommes 1%),None,Unknown,Safe
ground savory,None,Unknown,Safe
viande de porc 18% (suisse),None,Unknown,Safe
onion and spices),None,Unknown,Safe
mexican lime juice,None,Unknown,Safe
ribo in,None,Unknown,Safe
azijn,None,Unknown,Safe
potato starch and powdered cellulose (to prevent caking),None,Unknown,Safe
beurre 12 %,None,Unknown,Safe
100%biologiques 35% cacao cru en poudre,None,Unknown,Safe
cream and milk,None,Unknown,Safe
graines de tournesol (5 %),None,Unknown,Safe
karottten),None,Unknown,Safe
pimiento rojo (pimiento,None,Unknown,Safe
contains less than 2% of carrageenan,None,Unknown,Safe
riz basmati 92%,None,Unknown,Safe
tomates (147 g de tomates pour 100 g de ketchup),None,Unknown,Safe
egg solids,None,Unknown,Safe
acidifiant acide citrique (e330),None,Unknown,Safe
whole milk powder (2%),None,Unknown,Safe
fresh squeezed lime,None,Unknown,Safe
natural ground spices,None,Unknown,Safe
ingwer 0,None,Unknown,Safe
organic safflower and/or organic sunflower seed oil,None,Unknown,Safe
jambon cru 22 % (viande de porc,None,Unknown,Safe
calcium stearate added (to make free flowing),None,Unknown,Safe
xylitol),None,Unknown,Safe
maltose corn syrup,None,Unknown,Safe
expeller processed sunflower oil,None,Unknown,Safe
duttd tomatenconcentraat 4,None,Unknown,Safe
imitation rum oil (propylene glycol and artificial flavors),None,Unknown,Safe
soya lecithin and pure vainilla),None,Unknown,Safe
rennet and/or and/or microbial enzyme,None,Unknown,Safe
soy lecithin) natural blueberry flavor (medium chain triglycerides and,None,Unknown,Safe
jambon 18 % (viande de jambon,None,Unknown,Safe
sardines olive oil,None,Unknown,Safe
with citric acid,None,Unknown,Safe
sweet potato puree (sweet potato,None,Unknown,Safe
blueberry juice from puree,None,Unknown,Safe
natural and artificial maple flavoring,None,Unknown,Safe
sel) pulpe de farine khorasan,None,Unknown,Safe
flour treatment agent (amylases,None,Unknown,Safe
natural extractives of paprika (color),None,Unknown,Safe
enrobage au sucre (sirop de sucre,None,Unknown,Safe
6% (pommes de terre 11,None,Unknown,Safe
(blue 2 lake),None,Unknown,Safe
natural apple concentrate,None,Unknown,Safe
6% concombres,None,Unknown,Safe
syrup (43%),None,Unknown,Safe
unbleached sugar,None,Unknown,Safe
chicken breast with rib meat contains up to 15% solution of water,None,Unknown,Safe
pomme 79,None,Unknown,Safe
organic dark chocolate chips organic chocolate liquor,None,Unknown,Safe
emulsifier(starch syrup,None,Unknown,Safe
abats de boeuf,None,Unknown,Safe
organic vegetable blend (kale,None,Unknown,Safe
5% (baies de sureau,None,Unknown,Safe
eau (83%),None,Unknown,Safe
natural flavour (vanilla)),None,Unknown,Safe
natural and artifical,None,Unknown,Safe
grass fed milk protein concentrate,None,Unknown,Safe
glucides 9,None,Unknown,Safe
soybean lecithin (soy) with monoglycerides,None,Unknown,Safe
10cl de vin blanc sec,None,Unknown,Safe
rennet,None,Unknown,Safe
chipotle pepper sauce (whole chipotle peppers,None,Unknown,Safe
morceaux de foie gras de canard halal 30 %,None,Unknown,Safe
and parmesan cheese (pasteurized cultured milk and skim milk,None,Unknown,Safe
poudre de chocolat 8% (sucre,None,Unknown,Safe
salt lactic acid),None,Unknown,Safe
soyabean oil,None,Unknown,Safe
beef extract (maltodextrin,None,Unknown,Safe
freeze-dried ban,None,Unknown,Safe
pata vacuno,None,Unknown,Safe
diphosphate monodique,None,Unknown,Safe
yaourt (32%),None,Unknown,Safe
b12 (0,None,Unknown,Safe
coloranti (annato,None,Unknown,Safe
roasted peanuts (roasted in canola,None,Unknown,Safe
hydrolyzed soy protein and corn protein,None,Unknown,Safe
champignons de paris (champignons de paris,None,Unknown,Safe
guarkemmehi,None,Unknown,Safe
boullion(eau),None,Unknown,Safe
5% (oat flakes,None,Unknown,Safe
23% vollmilchschokolade,None,Unknown,Safe
palm oil acetylated monoglycerides,None,Unknown,Safe
morceaux de pommes bio,None,Unknown,Safe
sodium eryhorbate,None,Unknown,Safe
especias autorizadas,None,Unknown,Safe
black and green olives (olives,None,Unknown,Safe
emmental (lait) (9%),None,Unknown,Safe
onion flavouring (contains milk products) flavouring,None,Unknown,Safe
poulpe,None,Unknown,Safe
citric aid,None,Unknown,Safe
ingredients- pita bread (enriched wheat flour,None,Unknown,Safe
rice long grain,None,Unknown,Safe
lemon acid,None,Unknown,Safe
sugar (a) and/or glucose-fructose syrup (b),None,Unknown,Safe
contains less than 2% of sodium lactose,None,Unknown,Safe
shallot,None,Unknown,Safe
7% (viande 55%,None,Unknown,Safe
poitrine de poulet (87%),None,Unknown,Safe
// wholemilkpowder,None,Unknown,Safe
poivron vert 4 %,None,Unknown,Safe
invert sugar solution,None,Unknown,Safe
jaune dlgf,None,Unknown,Safe
mouille de porc,None,Unknown,Safe
feuilles de romarin (rosmarinus officinalis l) 45 %,None,Unknown,Safe
kokosnussextrakt 3%,None,Unknown,Safe
graines de moutard,None,Unknown,Safe
gras de veau (8,None,Unknown,Safe
jambon speck 15% (viande de porc,None,Unknown,Safe
de pamplemousse et de citron,None,Unknown,Safe
coconut butter coconut modified corn starch kosher gelatin,None,Unknown,Safe
516),None,Unknown,Safe
extrait aromatique rhum orange 8,None,Unknown,Safe
carnauba wax red 40,None,Unknown,Safe
vanille en gousses bourbon de madagascar,None,Unknown,Safe
23% gegarte nudeln (wasser,None,Unknown,Safe
chops seasoned powder,None,Unknown,Safe
rbgh-free butter,None,Unknown,Safe
chicory fibre,None,Unknown,Safe
cheese salt,None,Unknown,Safe
ni pommes,None,Unknown,Safe
natural bourbon vanilla,None,Unknown,Safe
sucre de canne liquide,None,Unknown,Safe
caramelized sugar (piloncillo),None,Unknown,Safe
pommes de terre 90%,None,Unknown,Safe
farbstoffe (e100,None,Unknown,Safe
butter 26%,None,Unknown,Safe
ew,None,Unknown,Safe
sliced peaches,None,Unknown,Safe
zucchero candito bianco,None,Unknown,Safe
pretzel bread (unbleached wheat flour,None,Unknown,Safe
extraits colorant (curcuma et paprika),None,Unknown,Safe
non-hydrogenated refined coconut oil,None,Unknown,Safe
date puree,None,Unknown,Safe
(love),None,Unknown,Safe
03%)),None,Unknown,Safe
glucose (form wheat),None,Unknown,Safe
fenne,None,Unknown,Safe
2% - magere-melkpoeder - zwarte peper 0,None,Unknown,Safe
beurre de cacao),None,Unknown,Safe
kekekrfrel noacin,None,Unknown,Safe
fat 10,None,Unknown,Safe
carotte 12%,None,Unknown,Safe
3%) (champignons,None,Unknown,Safe
poudre de cacao maigre cannelle,None,Unknown,Safe
extroitdefeuille de romarin 0,None,Unknown,Safe
green plantains,None,Unknown,Safe
chromchlorid,None,Unknown,Safe
long grain cooked white rice,None,Unknown,Safe
roasted chick pea,None,Unknown,Safe
condiment balsamique blanc,None,Unknown,Safe
quinoa 8%,None,Unknown,Safe
rehydrated apples (water,None,Unknown,Safe
modified corn starch rice flour,None,Unknown,Safe
lait 75% (1,None,Unknown,Safe
sorbic acid and potassium sorbate (to retain freshness),None,Unknown,Safe
vaniljarom,None,Unknown,Safe
wheat glucose syrup treacle,None,Unknown,Safe
vierge extra,None,Unknown,Safe
hot peppers (jalapeno peppers,None,Unknown,Safe
ananas 6,None,Unknown,Safe
l-isoleucine 1000 mg,None,Unknown,Safe
champignons de paris 9 %,None,Unknown,Safe
citron vert (1%),None,Unknown,Safe
farmer cheese (cultured pasteurized low fat milk,None,Unknown,Safe
gums (xanthan gum,None,Unknown,Safe
organic ethyl alcohol,None,Unknown,Safe
vanilla rice protein (whole brown rice protein,None,Unknown,Safe
24% tomato puree,None,Unknown,Safe
cane sugar and/or high fructose,None,Unknown,Safe
hydrogenated soybe,None,Unknown,Safe
organic strawberry and organic orange juice concentrates),None,Unknown,Safe
1 may contain traces of egg,None,Unknown,Safe
jambon cru 11,None,Unknown,Safe
poudre pomme,None,Unknown,Safe
cultured pasteurized grade a organic nonfat milk and cream,None,Unknown,Safe
then follow chilled preparation instructions or alternatively remove from the carton and plastic wrap and leave for approximately 2 % hours at room temperature,None,Unknown,Safe
premium danish gin,None,Unknown,Safe
poivrons rouges 21%,None,Unknown,Safe
milk chocolate (25%),None,Unknown,Safe
secs 18% (raisin,None,Unknown,Safe
chlorure de chrome (iii),None,Unknown,Safe
black scraper,None,Unknown,Safe
sucre roux de canne'),None,Unknown,Safe
spice extract),None,Unknown,Safe
emulgator sojalecithin,None,Unknown,Safe
chocolat 1% (sucre,None,Unknown,Safe
celery salt (salt and celery),None,Unknown,Safe
nondairy creamer (glucose,None,Unknown,Safe
soy protein isolated),None,Unknown,Safe
pulpes d'orange et de pamplemousse 2%,None,Unknown,Safe
blanc d'oeuf de poule,None,Unknown,Safe
artichoke powder,None,Unknown,Safe
sugar syrup (water,None,Unknown,Safe
grana padano 4,None,Unknown,Safe
vegetable broth (soy,None,Unknown,Safe
teneur en fruits 50% minimum,None,Unknown,Safe
hefe (saccharomyces cerevisiae),None,Unknown,Safe
smoky cheddar seasoning (white cheddar cheese (milk,None,Unknown,Safe
farine d'avoine (gluten),None,Unknown,Safe
chicken dices (chicken meat,None,Unknown,Safe
oleorresina de de paptrika saborizante),None,Unknown,Safe
organic pasta (organic semolina,None,Unknown,Safe
contient du gluten),None,Unknown,Safe
ricotta 20%,None,Unknown,Safe
huile de colza et/ou de tournesol,None,Unknown,Safe
3% frischer knoblauch,None,Unknown,Safe
poudre de wasabi 2,None,Unknown,Safe
annatto (vegetable color)),None,Unknown,Safe
chlorophylline,None,Unknown,Safe
sei),None,Unknown,Safe
and porcini cepes),None,Unknown,Safe
abricot 2,None,Unknown,Safe
dark chocolate chunks 8% (cocoa mass,None,Unknown,Safe
smoked herring fillets,None,Unknown,Safe
spices (chili pepper,None,Unknown,Safe
haricots rouges 40 %,None,Unknown,Safe
ail assaisonnement en poudre (9,None,Unknown,Safe
tonyu 76% (eau,None,Unknown,Safe
dill weed sage,None,Unknown,Safe
safflow,None,Unknown,Safe
wheat gl,None,Unknown,Safe
sugar(6%),None,Unknown,Safe
cannelini beans (white kidney beans,None,Unknown,Safe
lipolyzed milkfat,None,Unknown,Safe
caseinate,None,Unknown,Safe
phosphoric acid (as a preservative),None,Unknown,Safe
natural flavor (contains mustard seed),None,Unknown,Safe
beta ca,None,Unknown,Safe
cerises a l'alcool (cerises,None,Unknown,Safe
green apple flavor,None,Unknown,Safe
feuilles de pissenlit,None,Unknown,Safe
abricot 76%,None,Unknown,Safe
eco-farmed long grain brown rice,None,Unknown,Safe
poudre de tomate 4% (equivalent tomate fraiche 88%),None,Unknown,Safe
freshly milled organic spelt flour( wheat ),None,Unknown,Safe
ortie (31%),None,Unknown,Safe
salt malic acid,None,Unknown,Safe
potassium sorbate and calcium propionate added to preserve freshness,None,Unknown,Safe
ananas (3%),None,Unknown,Safe
leite uht meio-gordo,None,Unknown,Safe
dutch processed cocoa powder,None,Unknown,Safe
piel de salmon,None,Unknown,Safe
thon 81%,None,Unknown,Safe
parmesan and romano cheese (parmesan cheese (pasteurized part skim milk,None,Unknown,Safe
soybean diglycerides,None,Unknown,Safe
and garlic powders,None,Unknown,Safe
n on dairy creamer,None,Unknown,Safe
insredients acidifant e325,None,Unknown,Safe
e407a et e410,None,Unknown,Safe
kil flavourings,None,Unknown,Safe
abricot bergeron 50%,None,Unknown,Safe
tomates en poudre),None,Unknown,Safe
noix de joue,None,Unknown,Safe
marigold flowers,None,Unknown,Safe
selmarin,None,Unknown,Safe
roasted red bell peppers (roasted red peppers,None,Unknown,Safe
